2024-05-08 21:29:07.2019 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-08 21:29:08.5485 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-08 21:29:13.6997 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-08 21:35:21.2149 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-08 21:35:48.8197 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-08 21:35:48.9113 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-08 21:36:38.5218 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-09 18:22:42.9727 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-09 18:23:23.7496 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-09 18:23:23.8763 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-09 18:23:26.1923 | INFO | Project2.Choosing1 | The image was loaded
2024-05-09 18:23:26.1923 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-09 18:23:31.6941 | WARN | Project2.Choosing1 | User tried to like the position but didn't choose the line
2024-05-09 18:23:35.1237 | INFO | Project2.Choosing1 | User saw message about his mark
2024-05-09 18:23:35.1617 | INFO | Project2.Choosing1 | The information in database was updated
2024-05-09 18:23:35.1617 | INFO | Project2.Choosing1 | User liked the chosen position
2024-05-09 18:23:36.5753 | INFO | Project2.Choosing1 | The image was loaded
2024-05-09 18:23:36.5753 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-09 18:23:41.5905 | INFO | Project2.Choosing1 | User saw message about his mark
2024-05-09 18:23:41.5905 | INFO | Project2.Choosing1 | The information in database was updated
2024-05-09 18:23:41.5905 | INFO | Project2.Choosing1 | User liked the chosen position
2024-05-09 18:23:43.5461 | INFO | Project2.Choosing1 | The image was loaded
2024-05-09 18:23:43.5461 | INFO | Project2.Choosing1 | The information about chosen positions was shown
2024-05-09 18:23:47.5429 | INFO | Project2.Choosing1 | User saw message about his mark
2024-05-09 18:23:47.6434 | INFO | Project2.Choosing1 | The information in database was updated
2024-05-09 18:23:47.6434 | INFO | Project2.Choosing1 | User liked the chosen position
2024-05-09 18:23:49.3823 | INFO | ProjectTwo.YourRecomendations | The connection with database was succesful
2024-05-09 18:23:49.3977 | INFO | ProjectTwo.YourRecomendations | User tried to load this form
2024-05-09 18:23:49.3977 | INFO | ProjectTwo.YourRecomendations | The YourRecomendation form was loaded
2024-05-09 18:23:52.0426 | INFO | ProjectTwo.YourRecomendations | The image was loaded
2024-05-09 18:23:52.0426 | INFO | ProjectTwo.YourRecomendations | The information about chosen position was shown
2024-05-09 18:23:53.8515 | INFO | ProjectTwo.YourRecomendations | The image was loaded
2024-05-09 18:23:53.8515 | INFO | ProjectTwo.YourRecomendations | The information about chosen position was shown
2024-05-09 18:23:57.2798 | INFO | ProjectTwo.YourRecomendations | User added the position to the favourites
2024-05-09 18:23:58.9692 | INFO | ProjectTwo.YourRecomendations | The image was loaded
2024-05-09 18:23:58.9692 | INFO | ProjectTwo.YourRecomendations | The information about chosen position was shown
2024-05-09 18:24:03.5520 | WARN | ProjectTwo.YourRecomendations | The adding to favourites wasn't succesful
2024-05-09 18:24:08.0544 | INFO | ProjectTwo.YourRecomendations | User added the position to the favourites
2024-05-09 18:24:09.9003 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-09 18:24:09.9725 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-09 18:24:11.9227 | INFO | ProjectTwo.YourCollections | The YourCollections form was loaded
2024-05-09 18:24:12.9353 | INFO | Bars.Podborki | The informaton was loaded from database
2024-05-09 18:24:13.0540 | INFO | Bars.Podborki | The informaton was loaded from database
2024-05-09 18:24:13.0643 | INFO | Bars.Podborki | User tried to load Podborki form
2024-05-09 18:24:13.0643 | INFO | Bars.Podborki | The Podborki form was loaded
2024-05-09 18:24:16.3318 | INFO | Project2.Choosing1 | Data from Database was loaded
2024-05-09 18:24:16.4313 | INFO | Project2.Choosing1 | The Choosing1 form was loaded
2024-05-09 18:24:17.7479 | INFO | DZ.Cafe | The Cafe form was opened
2024-05-09 18:24:19.4063 | INFO | DZ.Cafe | The Cafe form was closed
2024-05-09 18:24:19.5257 | INFO | Project2.Choosing1 | User opened last Cafe form and click to back button
2024-05-09 18:24:19.5257 | INFO | Bars.Podborki | User opened last Choosing1 form and clicked to back button
2024-05-09 18:24:19.5257 | INFO | ProjectTwo.YourCollections | User clicked favs button and Podborki form was opened
